resource_id,resource_name,resource_type,description,category,brand,model_number,serial_number,purchase_date,purchase_cost,current_value,warranty_expiration,location,condition,maintenance_schedule,last_maintenance_date,checkout_allowed,max_checkout_days,requires_training,responsible_staff_id,insurance_value,status,created_at,updated_at
RES-5600,Recording Studio,Camera Equipment,Recording Studio - Available for student and program use,Media Production,Canon,MDL-561000,SN-610000,2025-04-01,2794.00,1705.00,2025-04-01,Equipment Room,Excellent,Monthly,2025-04-01,true,1,true,STF-0039,8763.00,Available,2022-11-06T00:00:00.000Z,2023-02-04T00:00:00.000Z
RES-5600,Green Screen Studio,Camera Equipment,Green Screen Studio - Available for student and program use,Media Production,Canon,MDL-561001,SN-610001,2025-04-02,2795.00,1706.00,2025-04-02,Studio A,Excellent,Monthly,2025-04-02,true,1,true,STF-0036,8764.00,Available,2022-11-07T00:00:00.000Z,2023-02-05T00:00:00.000Z
RES-5600,Computer Lab,Camera Equipment,Computer Lab - Available for student and program use,Media Production,Canon,MDL-561002,SN-610002,2025-04-03,2796.00,1707.00,2025-04-03,Studio B,Excellent,Monthly,2025-04-03,true,1,true,STF-0003,8765.00,Available,2022-11-08T00:00:00.000Z,2023-02-06T00:00:00.000Z
RES-5600,Collaboration Space,Camera Equipment,Collaboration Space - Available for student and program use,Media Production,Canon,MDL-561003,SN-610003,2025-04-04,2797.00,1708.00,2025-04-04,Computer Lab,Excellent,Monthly,2025-04-04,true,1,true,STF-0030,8766.00,Available,2022-11-09T00:00:00.000Z,2023-02-07T00:00:00.000Z
RES-5600,Laptop Checkout,Camera Equipment,Laptop Checkout - Available for student and program use,Media Production,Canon,MDL-561004,SN-610004,2025-04-05,2798.00,1709.00,2025-04-05,Conference Room,Excellent,Monthly,2025-04-05,true,1,true,STF-0002,8767.00,Available,2022-11-10T00:00:00.000Z,2023-02-08T00:00:00.000Z
RES-5600,Tablet - iPad,Camera Equipment,Tablet - iPad - Available for student and program use,Media Production,Canon,MDL-561005,SN-610005,2025-04-06,2799.00,1710.00,2025-04-06,Reception,Excellent,Monthly,2025-04-06,true,1,true,STF-0047,8768.00,Available,2022-11-11T00:00:00.000Z,2023-02-09T00:00:00.000Z
RES-5600,Drawing Tablet - Wacom,Camera Equipment,Drawing Tablet - Wacom - Available for student and program use,Media Production,Canon,MDL-561006,SN-610006,2025-04-07,2800.00,1711.00,2025-04-07,Mobile Cart,Excellent,Monthly,2025-04-07,true,1,true,STF-0002,8769.00,Available,2022-11-12T00:00:00.000Z,2023-02-10T00:00:00.000Z
RES-5600,Canon EOS R5 Camera,Camera Equipment,Canon EOS R5 Camera - Available for student and program use,Media Production,Canon,MDL-561007,SN-610007,2025-04-08,2801.00,1712.00,2025-04-08,Offsite Storage,Excellent,Monthly,2025-04-08,true,1,true,STF-0002,8770.00,Available,2022-11-13T00:00:00.000Z,2023-02-11T00:00:00.000Z
RES-5600,Sony A7III Camera,Camera Equipment,Sony A7III Camera - Available for student and program use,Media Production,Canon,MDL-561008,SN-610008,2025-04-09,2802.00,1713.00,2025-04-09,Equipment Room,Excellent,Monthly,2025-04-09,true,1,true,STF-0030,8771.00,Available,2022-11-14T00:00:00.000Z,2023-02-12T00:00:00.000Z
RES-5600,Blackmagic Pocket Cinema,Camera Equipment,Blackmagic Pocket Cinema - Available for student and program use,Media Production,Canon,MDL-561009,SN-610009,2025-04-10,2803.00,1714.00,2025-04-10,Studio A,Excellent,Monthly,2025-04-10,true,1,true,STF-0042,8772.00,Available,2022-11-15T00:00:00.000Z,2023-02-13T00:00:00.000Z
RES-5600,MacBook Pro 16-inch,Camera Equipment,MacBook Pro 16-inch - Available for student and program use,Media Production,Sony,MDL-561010,SN-610010,2025-04-11,2804.00,1715.00,2025-04-11,Studio B,Excellent,Quarterly,2025-04-11,true,1,true,STF-0027,8773.00,Available,2022-11-16T00:00:00.000Z,2023-02-14T00:00:00.000Z
RES-5600,iMac 27-inch,Camera Equipment,iMac 27-inch - Available for student and program use,Media Production,Sony,MDL-561011,SN-610011,2025-04-12,2805.00,1716.00,2025-04-12,Computer Lab,Excellent,Quarterly,2025-04-12,true,1,true,STF-0011,8774.00,Available,2022-11-17T00:00:00.000Z,2023-02-15T00:00:00.000Z
RES-5600,Dell Workstation,Camera Equipment,Dell Workstation - Available for student and program use,Media Production,Sony,MDL-561012,SN-610012,2025-04-13,2806.00,1717.00,2025-04-13,Conference Room,Excellent,Quarterly,2025-04-13,true,1,true,STF-0042,8775.00,Available,2022-11-18T00:00:00.000Z,2023-02-16T00:00:00.000Z
RES-5600,Adobe Creative Cloud License,Camera Equipment,Adobe Creative Cloud License - Available for student and program use,Media Production,Sony,MDL-561013,SN-610013,2025-04-14,2807.00,1718.00,2025-04-14,Reception,Excellent,Quarterly,2025-04-14,true,1,true,STF-0017,8776.00,Available,2022-11-19T00:00:00.000Z,2023-02-17T00:00:00.000Z
RES-5600,Final Cut Pro License,Camera Equipment,Final Cut Pro License - Available for student and program use,Media Production,Sony,MDL-561014,SN-610014,2025-04-15,2808.00,1719.00,2025-04-15,Mobile Cart,Excellent,Quarterly,2025-04-15,true,1,true,STF-0002,8777.00,Available,2022-11-20T00:00:00.000Z,2023-02-18T00:00:00.000Z
RES-5600,DaVinci Resolve Studio,Computer,DaVinci Resolve Studio - Available for student and program use,Media Production,Sony,MDL-561015,SN-610015,2025-04-16,2809.00,1720.00,2025-04-16,Offsite Storage,Excellent,Quarterly,2025-04-16,true,1,true,STF-0007,8778.00,Available,2022-11-21T00:00:00.000Z,2023-02-19T00:00:00.000Z
RES-5600,Rode Wireless GO II,Computer,Rode Wireless GO II - Available for student and program use,Media Production,Sony,MDL-561016,SN-610016,2025-04-17,2810.00,1721.00,2025-04-17,Equipment Room,Excellent,Quarterly,2025-04-17,true,1,true,STF-0016,8779.00,Available,2022-11-22T00:00:00.000Z,2023-02-20T00:00:00.000Z
RES-5600,Zoom H6 Recorder,Computer,Zoom H6 Recorder - Available for student and program use,Media Production,Sony,MDL-561017,SN-610017,2025-04-18,2811.00,1722.00,2025-04-18,Studio A,Excellent,Quarterly,2025-04-18,true,1,true,STF-0025,8780.00,Available,2022-11-23T00:00:00.000Z,2023-02-21T00:00:00.000Z
RES-5600,Audio-Technica AT2020,Computer,Audio-Technica AT2020 - Available for student and program use,Media Production,Sony,MDL-561018,SN-610018,2025-04-19,2812.00,1723.00,2025-04-19,Studio B,Excellent,Quarterly,2025-04-19,true,1,true,STF-0027,8781.00,Available,2022-11-24T00:00:00.000Z,2023-02-22T00:00:00.000Z
RES-5600,LED Panel Light Kit,Computer,LED Panel Light Kit - Available for student and program use,Media Production,Sony,MDL-561019,SN-610019,2025-04-20,2813.00,1724.00,2025-04-20,Computer Lab,Excellent,Quarterly,2025-04-20,true,1,true,STF-0048,8782.00,Available,2022-11-25T00:00:00.000Z,2023-02-23T00:00:00.000Z
RES-5600,Softbox Lighting Set,Computer,Softbox Lighting Set - Available for student and program use,Media Production,Apple,MDL-561020,SN-610020,2025-04-21,2814.00,1725.00,2025-04-21,Conference Room,Excellent,Quarterly,2025-04-21,true,3,true,STF-0043,8783.00,Available,2022-11-26T00:00:00.000Z,2023-02-24T00:00:00.000Z
RES-5600,Ring Light,Computer,Ring Light - Available for student and program use,Media Production,Apple,MDL-561021,SN-610021,2025-04-22,2815.00,1726.00,2025-04-22,Reception,Excellent,Quarterly,2025-04-22,true,3,true,STF-0044,8784.00,Available,2022-11-27T00:00:00.000Z,2023-02-25T00:00:00.000Z
RES-5600,Tripod - Professional,Computer,Tripod - Professional - Available for student and program use,Media Production,Apple,MDL-561022,SN-610022,2025-04-23,2816.00,1727.00,2025-04-23,Mobile Cart,Excellent,Quarterly,2025-04-23,true,3,true,STF-0005,8785.00,Available,2022-11-28T00:00:00.000Z,2023-02-26T00:00:00.000Z
RES-5600,Gimbal Stabilizer,Computer,Gimbal Stabilizer - Available for student and program use,Media Production,Apple,MDL-561023,SN-610023,2025-04-24,2817.00,1728.00,2025-04-24,Offsite Storage,Excellent,Quarterly,2025-04-24,true,3,true,STF-0005,8786.00,Available,2022-11-29T00:00:00.000Z,2023-02-27T00:00:00.000Z
RES-5600,Drone - DJI Mini 3,Computer,Drone - DJI Mini 3 - Available for student and program use,Media Production,Apple,MDL-561024,SN-610024,2025-04-25,2818.00,1729.00,2025-04-25,Equipment Room,Excellent,Quarterly,2025-04-25,true,3,true,STF-0033,8787.00,Available,2022-11-30T00:00:00.000Z,2023-02-28T00:00:00.000Z
RES-5600,Conference Room A,Computer,Conference Room A - Available for student and program use,Technology,Apple,MDL-561025,SN-610025,2025-04-26,2819.00,1730.00,2025-04-26,Studio A,Excellent,Quarterly,2025-04-26,true,3,true,STF-0048,8788.00,Available,2022-12-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
RES-5600,Conference Room B,Computer,Conference Room B - Available for student and program use,Technology,Apple,MDL-561026,SN-610026,2025-04-27,2820.00,1731.00,2025-04-27,Studio B,Excellent,Quarterly,2025-04-27,true,3,true,STF-0037,8789.00,Available,2022-12-02T00:00:00.000Z,2023-03-02T00:00:00.000Z
RES-5600,Recording Studio,Computer,Recording Studio - Available for student and program use,Technology,Apple,MDL-561027,SN-610027,2025-04-28,2821.00,1732.00,2025-04-28,Computer Lab,Excellent,Quarterly,2025-04-28,true,3,true,STF-0045,8790.00,Available,2022-12-03T00:00:00.000Z,2023-03-03T00:00:00.000Z
RES-5600,Green Screen Studio,Computer,Green Screen Studio - Available for student and program use,Technology,Apple,MDL-561028,SN-610028,2025-04-29,2822.00,1733.00,2025-04-29,Conference Room,Excellent,Quarterly,2025-04-29,true,3,true,STF-0041,8791.00,Available,2022-12-04T00:00:00.000Z,2023-03-04T00:00:00.000Z
RES-5600,Computer Lab,Computer,Computer Lab - Available for student and program use,Technology,Apple,MDL-561029,SN-610029,2025-04-30,2823.00,1734.00,2025-04-30,Reception,Excellent,Quarterly,2025-04-30,true,3,true,STF-0041,8792.00,Available,2022-12-05T00:00:00.000Z,2023-03-05T00:00:00.000Z
RES-5600,Collaboration Space,Software License,Collaboration Space - Available for student and program use,Technology,Apple,MDL-561030,SN-610030,2025-05-01,2824.00,1735.00,2025-05-01,Mobile Cart,Good,Quarterly,2025-05-01,true,3,true,STF-0016,8793.00,Available,2022-12-06T00:00:00.000Z,2023-03-06T00:00:00.000Z
RES-5600,Laptop Checkout,Software License,Laptop Checkout - Available for student and program use,Technology,Apple,MDL-561031,SN-610031,2025-05-02,2825.00,1736.00,2025-05-02,Offsite Storage,Good,Quarterly,2025-05-02,true,3,true,STF-0005,8794.00,Available,2022-12-07T00:00:00.000Z,2023-03-07T00:00:00.000Z
RES-5600,Tablet - iPad,Software License,Tablet - iPad - Available for student and program use,Technology,Apple,MDL-561032,SN-610032,2025-05-03,2826.00,1737.00,2025-05-03,Equipment Room,Good,Quarterly,2025-05-03,true,3,true,STF-0031,8795.00,Available,2022-12-08T00:00:00.000Z,2023-03-08T00:00:00.000Z
RES-5600,Drawing Tablet - Wacom,Software License,Drawing Tablet - Wacom - Available for student and program use,Technology,Apple,MDL-561033,SN-610033,2025-05-04,2827.00,1738.00,2025-05-04,Studio A,Good,Quarterly,2025-05-04,true,3,true,STF-0025,8796.00,Available,2022-12-09T00:00:00.000Z,2023-03-09T00:00:00.000Z
RES-5600,Canon EOS R5 Camera,Software License,Canon EOS R5 Camera - Available for student and program use,Technology,Apple,MDL-561034,SN-610034,2025-05-05,2828.00,1739.00,2025-05-05,Studio B,Good,Quarterly,2025-05-05,true,3,true,STF-0013,8797.00,Available,2022-12-10T00:00:00.000Z,2023-03-10T00:00:00.000Z
RES-5600,Sony A7III Camera,Software License,Sony A7III Camera - Available for student and program use,Technology,Dell,MDL-561035,SN-610035,2025-05-06,2829.00,1740.00,2025-05-06,Computer Lab,Good,Annually,2025-05-06,true,3,true,STF-0009,8798.00,Available,2022-12-11T00:00:00.000Z,2023-03-11T00:00:00.000Z
RES-5600,Blackmagic Pocket Cinema,Software License,Blackmagic Pocket Cinema - Available for student and program use,Technology,Dell,MDL-561036,SN-610036,2025-05-07,2830.00,1741.00,2025-05-07,Conference Room,Good,Annually,2025-05-07,true,3,true,STF-0004,8799.00,Available,2022-12-12T00:00:00.000Z,2023-03-12T00:00:00.000Z
RES-5600,MacBook Pro 16-inch,Software License,MacBook Pro 16-inch - Available for student and program use,Technology,Dell,MDL-561037,SN-610037,2025-05-08,2831.00,1742.00,2025-05-08,Reception,Good,Annually,2025-05-08,true,3,true,STF-0036,8800.00,Available,2022-12-13T00:00:00.000Z,2023-03-13T00:00:00.000Z
RES-5600,iMac 27-inch,Software License,iMac 27-inch - Available for student and program use,Technology,Dell,MDL-561038,SN-610038,2025-05-09,2832.00,1743.00,2025-05-09,Mobile Cart,Good,Annually,2025-05-09,true,3,true,STF-0040,8801.00,Available,2022-12-14T00:00:00.000Z,2023-03-14T00:00:00.000Z
RES-5600,Dell Workstation,Software License,Dell Workstation - Available for student and program use,Technology,Dell,MDL-561039,SN-610039,2025-05-10,2833.00,1744.00,2025-05-10,Offsite Storage,Good,Annually,2025-05-10,true,3,true,STF-0036,8802.00,Available,2022-12-15T00:00:00.000Z,2023-03-15T00:00:00.000Z
RES-5600,Adobe Creative Cloud License,Audio Equipment,Adobe Creative Cloud License - Available for student and program use,Technology,Dell,MDL-561040,SN-610040,2025-05-11,2834.00,1745.00,2025-05-11,Equipment Room,Good,Annually,2025-05-11,true,3,true,STF-0023,8803.00,Available,2022-12-16T00:00:00.000Z,2023-03-16T00:00:00.000Z
RES-5600,Final Cut Pro License,Audio Equipment,Final Cut Pro License - Available for student and program use,Technology,Dell,MDL-561041,SN-610041,2025-05-12,2835.00,1746.00,2025-05-12,Studio A,Good,Annually,2025-05-12,true,3,true,STF-0020,8804.00,Available,2022-12-17T00:00:00.000Z,2023-03-17T00:00:00.000Z
RES-5600,DaVinci Resolve Studio,Audio Equipment,DaVinci Resolve Studio - Available for student and program use,Technology,Dell,MDL-561042,SN-610042,2025-05-13,2836.00,1747.00,2025-05-13,Studio B,Good,Annually,2025-05-13,true,3,true,STF-0028,8805.00,Available,2022-12-18T00:00:00.000Z,2023-03-18T00:00:00.000Z
RES-5600,Rode Wireless GO II,Audio Equipment,Rode Wireless GO II - Available for student and program use,Technology,Dell,MDL-561043,SN-610043,2025-05-14,2837.00,1748.00,2025-05-14,Computer Lab,Good,Annually,2025-05-14,true,3,true,STF-0020,8806.00,Available,2022-12-19T00:00:00.000Z,2023-03-19T00:00:00.000Z
RES-5600,Zoom H6 Recorder,Audio Equipment,Zoom H6 Recorder - Available for student and program use,Technology,Dell,MDL-561044,SN-610044,2025-05-15,2838.00,1749.00,2025-05-15,Conference Room,Good,Annually,2025-05-15,true,3,true,STF-0045,8807.00,Available,2022-12-20T00:00:00.000Z,2023-03-20T00:00:00.000Z
RES-5600,Audio-Technica AT2020,Audio Equipment,Audio-Technica AT2020 - Available for student and program use,Technology,Adobe,MDL-561045,SN-610045,2025-05-16,2839.00,1750.00,2025-05-16,Reception,Good,Annually,2025-05-16,true,3,true,STF-0038,8808.00,Available,2022-12-21T00:00:00.000Z,2023-03-21T00:00:00.000Z
RES-5600,LED Panel Light Kit,Audio Equipment,LED Panel Light Kit - Available for student and program use,Technology,Adobe,MDL-561046,SN-610046,2025-05-17,2840.00,1751.00,2025-05-17,Mobile Cart,Good,Annually,2025-05-17,true,3,true,STF-0029,8809.00,Available,2022-12-22T00:00:00.000Z,2023-03-22T00:00:00.000Z
RES-5600,Softbox Lighting Set,Audio Equipment,Softbox Lighting Set - Available for student and program use,Technology,Adobe,MDL-561047,SN-610047,2025-05-18,2841.00,1752.00,2025-05-18,Offsite Storage,Good,Annually,2025-05-18,true,3,true,STF-0007,8810.00,Available,2022-12-23T00:00:00.000Z,2023-03-23T00:00:00.000Z
RES-5600,Ring Light,Audio Equipment,Ring Light - Available for student and program use,Technology,Adobe,MDL-561048,SN-610048,2025-05-19,2842.00,1753.00,2025-05-19,Equipment Room,Good,Annually,2025-05-19,true,3,true,STF-0010,8811.00,Available,2022-12-24T00:00:00.000Z,2023-03-24T00:00:00.000Z
RES-5600,Tripod - Professional,Audio Equipment,Tripod - Professional - Available for student and program use,Technology,Adobe,MDL-561049,SN-610049,2025-05-20,2843.00,1754.00,2025-05-20,Studio A,Good,Annually,2025-05-20,true,3,true,STF-0002,8812.00,Available,2022-12-25T00:00:00.000Z,2023-03-25T00:00:00.000Z
