student_skill_id,student_id,skill_id,initial_assessment_date,initial_proficiency_level,current_proficiency_level,target_proficiency_level,last_assessment_date,assessment_score,hours_practiced,projects_completed,assessed_by_staff_id,learning_style,strengths,areas_for_improvement,recommended_next_steps,progress_notes,status,created_at,updated_at
SS-000001,STU-000001,SKILL-0001,2023-02-11,Novice,Intermediate,Advanced,2023-05-12,52,5,1,STAFF-0002,Auditory,Strong technical foundation,Needs more practice with advanced techniques,Continue with project-based learning,Making steady progress,Active,2026-01-28T20:15:55.286Z,2026-01-28T20:15:55.286Z
SS-000002,STU-000002,SKILL-0002,2023-02-21,Intermediate,Advanced,Expert,2023-05-22,54,10,2,STAFF-0003,Kinesthetic,Strong technical foundation,Needs more practice with advanced techniques,Continue with project-based learning,Making steady progress,Active,2026-01-28T20:15:55.286Z,2026-01-28T20:15:55.286Z
SS-000003,STU-000003,SKILL-0003,2023-03-03,Advanced,Expert,Master,2023-06-01,56,15,3,STAFF-0004,Mixed,Strong technical foundation,Needs more practice with advanced techniques,Continue with project-based learning,Making steady progress,Active,2026-01-28T20:15:55.286Z,2026-01-28T20:15:55.286Z
SS-000004,STU-000004,SKILL-0004,2023-03-13,Expert,Master,Master,2023-06-11,58,20,4,STAFF-0005,Visual,Strong technical foundation,Needs more practice with advanced techniques,Continue with project-based learning,Making steady progress,Active,2026-01-28T20:15:55.286Z,2026-01-28T20:15:55.286Z
SS-000005,STU-000005,SKILL-0005,2023-03-23,Beginner,Novice,Intermediate,2023-06-21,60,25,5,STAFF-0001,Auditory,Strong technical foundation,Needs more practice with advanced techniques,Continue with project-based learning,Making steady progress,Active,2026-01-28T20:15:55.286Z,2026-01-28T20:15:55.286Z
SS-000006,STU-000006,SKILL-0006,2023-04-02,Novice,Intermediate,Advanced,2023-07-01,62,30,6,STAFF-0002,Kinesthetic,Strong technical foundation,Needs more practice with advanced techniques,Continue with project-based learning,Making steady progress,Active,2026-01-28T20:15:55.286Z,2026-01-28T20:15:55.286Z
SS-000007,STU-000007,SKILL-0007,2023-04-12,Intermediate,Advanced,Expert,2023-07-11,64,35,7,STAFF-0003,Mixed,Strong technical foundation,Needs more practice with advanced techniques,Continue with project-based learning,Making steady progress,Active,2026-01-28T20:15:55.286Z,2026-01-28T20:15:55.286Z
SS-000008,STU-000008,SKILL-0008,2023-04-22,Advanced,Expert,Master,2023-07-21,66,40,8,STAFF-0004,Visual,Strong technical foundation,Needs more practice with advanced techniques,Continue with project-based learning,Making steady progress,Active,2026-01-28T20:15:55.286Z,2026-01-28T20:15:55.286Z
SS-000009,STU-000009,SKILL-0009,2023-05-02,Expert,Master,Master,2023-07-31,68,45,9,STAFF-0005,Auditory,Strong technical foundation,Needs more practice with advanced techniques,Continue with project-based learning,Making steady progress,Active,2026-01-28T20:15:55.286Z,2026-01-28T20:15:55.286Z
SS-000010,STU-000010,SKILL-0010,2023-05-12,Beginner,Novice,Intermediate,2023-08-10,70,50,0,STAFF-0001,Kinesthetic,Strong technical foundation,Needs more practice with advanced techniques,Continue with project-based learning,Making steady progress,On Hold,2026-01-28T20:15:55.286Z,2026-01-28T20:15:55.286Z
SS-000011,STU-000011,SKILL-0011,2023-05-22,Novice,Intermediate,Advanced,2023-08-20,72,55,1,STAFF-0002,Mixed,Strong technical foundation,Needs more practice with advanced techniques,Continue with project-based learning,Making steady progress,Active,2026-01-28T20:15:55.286Z,2026-01-28T20:15:55.286Z
SS-000012,STU-000012,SKILL-0012,2023-06-01,Intermediate,Advanced,Expert,2023-08-30,74,60,2,STAFF-0003,Visual,Strong technical foundation,Needs more practice with advanced techniques,Continue with project-based learning,Making steady progress,Active,2026-01-28T20:15:55.286Z,2026-01-28T20:15:55.286Z
SS-000013,STU-000013,SKILL-0013,2023-06-11,Advanced,Expert,Master,2023-09-09,76,65,3,STAFF-0004,Auditory,Strong technical foundation,Needs more practice with advanced techniques,Continue with project-based learning,Making steady progress,Active,2026-01-28T20:15:55.286Z,2026-01-28T20:15:55.286Z
SS-000014,STU-000014,SKILL-0014,2023-06-21,Expert,Master,Master,2023-09-19,78,70,4,STAFF-0005,Kinesthetic,Strong technical foundation,Needs more practice with advanced techniques,Continue with project-based learning,Making steady progress,Active,2026-01-28T20:15:55.286Z,2026-01-28T20:15:55.286Z
SS-000015,STU-000015,SKILL-0015,2023-07-01,Beginner,Novice,Intermediate,2023-09-29,80,75,5,STAFF-0001,Mixed,Strong technical foundation,Needs more practice with advanced techniques,Continue with project-based learning,Making steady progress,Active,2026-01-28T20:15:55.286Z,2026-01-28T20:15:55.286Z
SS-000016,STU-000016,SKILL-0016,2023-07-11,Novice,Intermediate,Advanced,2023-10-09,82,80,6,STAFF-0002,Visual,Strong technical foundation,Needs more practice with advanced techniques,Continue with project-based learning,Making steady progress,Active,2026-01-28T20:15:55.286Z,2026-01-28T20:15:55.286Z
SS-000017,STU-000017,SKILL-0017,2023-07-21,Intermediate,Advanced,Expert,2023-10-19,84,85,7,STAFF-0003,Auditory,Strong technical foundation,Needs more practice with advanced techniques,Continue with project-based learning,Making steady progress,Active,2026-01-28T20:15:55.286Z,2026-01-28T20:15:55.286Z
SS-000018,STU-000018,SKILL-0018,2023-07-31,Advanced,Expert,Master,2023-10-29,86,90,8,STAFF-0004,Kinesthetic,Strong technical foundation,Needs more practice with advanced techniques,Continue with project-based learning,Making steady progress,Active,2026-01-28T20:15:55.286Z,2026-01-28T20:15:55.286Z
SS-000019,STU-000019,SKILL-0019,2023-08-10,Expert,Master,Master,2023-11-08,88,95,9,STAFF-0005,Mixed,Strong technical foundation,Needs more practice with advanced techniques,Continue with project-based learning,Making steady progress,Active,2026-01-28T20:15:55.286Z,2026-01-28T20:15:55.286Z
SS-000020,STU-000020,SKILL-0020,2023-08-20,Beginner,Novice,Intermediate,2023-11-18,90,100,0,STAFF-0001,Visual,Strong technical foundation,Needs more practice with advanced techniques,Continue with project-based learning,Making steady progress,On Hold,2026-01-28T20:15:55.286Z,2026-01-28T20:15:55.286Z
